日期 ,事件,文字,"分類（以逗號分隔：開發案, 路殺, 衝突, 友善農耕,石虎研究）",資訊連結,經度（路殺或目擊事件才需登）,緯度（路殺或目擊事件才需登）,資料來源（e-info或其他媒體）,
2010/5/17,為縮短30分鐘路程的大肚山華南路工程，舉行開工典禮。,,大肚山開路,http://news.ltn.com.tw/news/local/paper/396407,,,聯合報,
2010/6/30,華南路工程首次說明會，台灣生態學會批評破壞石虎棲地。,,大肚山開路,http://e-info.org.tw/node/57018,24.1550269,120.5609293,聯合報,
2010/12/8,苗50線拓寬工程行經石虎棲地，三義鄉代會決議反對。,,苗50線,http://news.ltn.com.tw/news/local/paper/450322,無,無,自由時報,
2010/12/13,自然生態學會等保育團體發動一人一信給林務局長，要求暫援苗50線苑裡、三義段拓寬工程,,苗50線,http://e-info.org.tw/node/61867,無,無,環境資訊中心,
2010/12/18,苗栗縣府決定尊重地方意見，宣布以保護自然生態為先，暫緩推動苗50線拓寬工程。,,苗50線,http://e-info.org.tw/node/62017,無,無,環境資訊中心,
2010/12/28,苗栗三義火炎山地區，研究人員於白天拍攝到石虎蹤影。,,石虎研究,https://tw.news.yahoo.com/%E5%B0%8F%E7%9F%B3%E8%99%8E%E8%B6%B4%E8%B6%B4%E8%B5%B0-%E6%BC%AB%E6%AD%A5%E7%81%AB%E7%82%8E%E5%B1%B1-20101228-023905-908.html,24.363018,120.725813,中央通訊社,
2011/11/8,台中縣大肚鄉華南路工程破壞石虎棲地。保育團體展開網路連署抗議。,,大肚山開路,http://www.appledaily.com.tw/appledaily/article/headline/20111105/33793889/,無,無,蘋果日報,
2012/3/11,二隻石虎陳屍在苗128號縣道，疑被撞死。,,路殺,http://e-info.org.tw/node/75184,24.506184,120.723116,自由時報,
2012/5/11,獸鋏餘生，公館鄉一石虎經民眾搶救後保命。,,獸鋏,http://e-info.org.tw/node/76750,24.532275,120.853645,環境資訊中心,
2012/6/13,後龍殯葬園區強力動工，爆官民衝突。,,後龍殯葬園區,http://e-info.org.tw/node/77718,,,環境資訊中心,
2012/6/14,居民北上抗議後龍殯葬園區，生態專家批評環評有缺失，隻字未提石虎。,,後龍殯葬園區,http://e-info.org.tw/node/77791,無,無,自由時報,
2012/7/7,疑遭偷渡廢棄物，百人包圍殯葬園區工地並控告縣府瀆職。,,後龍殯葬園區,http://e-info.org.tw/node/78387,無,無,自由時報,
2012/7/11,【留住石虎系列報導】石虎研究者陳美汀、林育秀詳細分析殯葬園區開發案對石虎的衝擊。,,後龍殯葬園區,http://e-info.org.tw/node/78460,無,無,環境資訊中心,
2012/7/11,【留住石虎系列報導】化衝突為保育，苗栗養雞場加入石虎通報系統。,,石虎研究,http://e-info.org.tw/node/78461,無,無,環境資訊中心,
2012/7/28,殯葬園區爭議引關注，綠黨、台灣動物社會研究會、公益律師現勘，確認環評疏失。,,後龍殯葬園區,http://e-info.org.tw/node/79003,無,無,自由時報,
2012/8/7,【留住石虎系列報導】救石虎，學者民代再呼籲，後龍殯葬園區環評不實，應立即停工。,,後龍殯葬園區,http://e-info.org.tw/node/79321,無,無,環境資訊中心,
