"County","Town","Count","Level"
"南投縣","南投縣中寮鄉",5724,1
"南投縣","南投縣仁愛鄉",135677,7
"南投縣","南投縣信義鄉",66921,4
"南投縣","南投縣南投市",627,1
"南投縣","南投縣名間鄉",2138,1
"南投縣","南投縣國姓鄉",38481,2
"南投縣","南投縣埔里鎮",0,0
"南投縣","南投縣水里鄉",1204,1
"南投縣","南投縣竹山鎮",35534,2
"南投縣","南投縣草屯鎮",8069,1
"南投縣","南投縣集集鎮",36,1
"南投縣","南投縣魚池鄉",0,0
"南投縣","南投縣鹿谷鄉",0,0
"台中市","台中市中區",35,1
"台中市","台中市北區",263,1
"台中市","台中市北屯區",3030,1
"台中市","台中市南區",922,1
"台中市","台中市南屯區",511,1
"台中市","台中市后里區",2095,1
"台中市","台中市和平區",107644,6
"台中市","台中市外埔區",511,1
"台中市","台中市大安區",809,1
"台中市","台中市大甲區",994,1
"台中市","台中市大肚區",471,1
"台中市","台中市大里區",745,1
"台中市","台中市大雅區",417,1
"台中市","台中市太平區",1305,1
"台中市","台中市新社區",1734,1
"台中市","台中市東勢區",2083,1
"台中市","台中市東區",0,0
"台中市","台中市梧棲區",1143,1
"台中市","台中市沙鹿區",421,1
"台中市","台中市清水區",801,1
"台中市","台中市潭子區",87,1
"台中市","台中市烏日區",4978,1
"台中市","台中市石岡區",0,0
"台中市","台中市神岡區",275,1
"台中市","台中市西區",0,0
"台中市","台中市西屯區",1093,1
"台中市","台中市豐原區",496,1
"台中市","台中市霧峰區",508,1
"台中市","台中市龍井區",1286,1
"台北市","台北市中山區",1173,1
"台北市","台北市中正區",7712,1
"台北市","台北市信義區",2485,1
"台北市","台北市內湖區",3874,1
"台北市","台北市北投區",24427,2
"台北市","台北市南港區",3051,1
"台北市","台北市士林區",3099,1
"台北市","台北市大同區",127,1
"台北市","台北市大安區",261,1
"台北市","台北市文山區",6094,1
"台北市","台北市松山區",0,0
"台北市","台北市萬華區",751,1
"台南市","台南市七股區",4732,1
"台南市","台南市下營區",1368,1
"台南市","台南市中西區",389,1
"台南市","台南市仁德區",2292,1
"台南市","台南市佳里區",1014,1
"台南市","台南市六甲區",3993,1
"台南市","台南市北區",150,1
"台南市","台南市北門區",4389,1
"台南市","台南市南化區",42966,3
"台南市","台南市南區",595,1
"台南市","台南市善化區",986,1
"台南市","台南市大內區",765,1
"台南市","台南市學甲區",533,1
"台南市","台南市安南區",3253,1
"台南市","台南市安定區",374,1
"台南市","台南市安平區",49,1
"台南市","台南市官田區",448,1
"台南市","台南市將軍區",371,1
"台南市","台南市山上區",165,1
"台南市","台南市左鎮區",3035,1
"台南市","台南市後壁區",726,1
"台南市","台南市新化區",1708,1
"台南市","台南市新市區",379,1
"台南市","台南市新營區",1470,1
"台南市","台南市東區",0,0
"台南市","台南市東山區",3972,1
"台南市","台南市柳營區",0,0
"台南市","台南市楠西區",0,0
"台南市","台南市歸仁區",1572,1
"台南市","台南市永康區",171,1
"台南市","台南市玉井區",0,0
"台南市","台南市白河區",1361,1
"台南市","台南市西港區",48,1
"台南市","台南市關廟區",1589,1
"台南市","台南市鹽水區",1135,1
"台南市","台南市麻豆區",618,1
"台南市","台南市龍崎區",1272,1
"台東縣","台東縣卑南鄉",51839,3
"台東縣","台東縣台東市",0,0
"台東縣","台東縣大武鄉",12219,1
"台東縣","台東縣太麻里鄉",6272,1
"台東縣","台東縣延平鄉",14178,1
"台東縣","台東縣成功鎮",13209,1
"台東縣","台東縣東河鄉",17915,1
"台東縣","台東縣池上鄉",2084,1
"台東縣","台東縣綠島鄉",1950,1
"台東縣","台東縣蘭嶼鄉",15253,1
"台東縣","台東縣達仁鄉",44444,3
"台東縣","台東縣金峰鄉",6406,1
"台東縣","台東縣長濱鄉",9488,1
"台東縣","台東縣關山鎮",1710,1
"台東縣","台東縣鹿野鄉",107,1
"嘉義市","嘉義市東區",3164,1
"嘉義市","嘉義市西區",1969,1
"嘉義縣","嘉義縣中埔鄉",74522,4
"嘉義縣","嘉義縣六腳鄉",826,1
"嘉義縣","嘉義縣大埔鄉",6052,1
"嘉義縣","嘉義縣大林鎮",592,1
"嘉義縣","嘉義縣太保市",789,1
"嘉義縣","嘉義縣布袋鎮",1173,1
"嘉義縣","嘉義縣新港鄉",853,1
"嘉義縣","嘉義縣朴子市",319,1
"嘉義縣","嘉義縣東石鄉",34148,2
"嘉義縣","嘉義縣梅山鄉",12249,1
"嘉義縣","嘉義縣民雄鄉",728,1
"嘉義縣","嘉義縣水上鄉",96,1
"嘉義縣","嘉義縣溪口鄉",191,1
"嘉義縣","嘉義縣番路鄉",7783,1
"嘉義縣","嘉義縣竹崎鄉",1045,1
"嘉義縣","嘉義縣義竹鄉",65,1
"嘉義縣","嘉義縣阿里山鄉",40163,2
"嘉義縣","嘉義縣鹿草鄉",208,1
"基隆市","基隆市中山區",501,1
"基隆市","基隆市七堵區",7204,1
"基隆市","基隆市中正區",4515,1
"基隆市","基隆市仁愛區",1069,1
"基隆市","基隆市信義區",36,1
"基隆市","基隆市安樂區",925,1
"基隆市","基隆市暖暖區",10945,1
"宜蘭縣","宜蘭縣三星鄉",25903,2
"宜蘭縣","宜蘭縣五結鄉",6199,1
"宜蘭縣","宜蘭縣冬山鄉",5767,1
"宜蘭縣","宜蘭縣南澳鄉",141058,7
"宜蘭縣","宜蘭縣員山鄉",15839,1
"宜蘭縣","宜蘭縣壯圍鄉",3268,1
"宜蘭縣","宜蘭縣大同鄉",70024,4
"宜蘭縣","宜蘭縣宜蘭市",0,0
"宜蘭縣","宜蘭縣礁溪鄉",24779,2
"宜蘭縣","宜蘭縣羅東鎮",0,0
"宜蘭縣","宜蘭縣蘇澳鎮",2763,1
"宜蘭縣","宜蘭縣頭城鎮",50902,3
"屏東縣","屏東縣三地門鄉",39839,2
"屏東縣","屏東縣九如鄉",2095,1
"屏東縣","屏東縣佳冬鄉",2275,1
"屏東縣","屏東縣來義鄉",28647,2
"屏東縣","屏東縣內埔鄉",10512,1
"屏東縣","屏東縣南州鄉",1123,1
"屏東縣","屏東縣屏東市",2777,1
"屏東縣","屏東縣崁頂鄉",686,1
"屏東縣","屏東縣恆春鎮",28035,2
"屏東縣","屏東縣新園鄉",5322,1
"屏東縣","屏東縣新埤鄉",3289,1
"屏東縣","屏東縣春日鄉",6993,1
"屏東縣","屏東縣東港鎮",3490,1
"屏東縣","屏東縣枋寮鄉",1345,1
"屏東縣","屏東縣枋山鄉",3743,1
"屏東縣","屏東縣林邊鄉",457,1
"屏東縣","屏東縣泰武鄉",24143,2
"屏東縣","屏東縣滿州鄉",9563,1
"屏東縣","屏東縣潮州鎮",9282,1
"屏東縣","屏東縣牡丹鄉",18757,1
"屏東縣","屏東縣獅子鄉",10224,1
"屏東縣","屏東縣琉球鄉",1234,1
"屏東縣","屏東縣瑪家鄉",3320,1
"屏東縣","屏東縣竹田鄉",1182,1
"屏東縣","屏東縣萬丹鄉",1184,1
"屏東縣","屏東縣萬巒鄉",242,1
"屏東縣","屏東縣車城鄉",738,1
"屏東縣","屏東縣里港鄉",1900,1
"屏東縣","屏東縣長治鄉",536,1
"屏東縣","屏東縣霧台鄉",1688,1
"屏東縣","屏東縣高樹鄉",3570,1
"屏東縣","屏東縣鹽埔鄉",46,1
"屏東縣","屏東縣麟洛鄉",82,1
"彰化縣","彰化縣二林鎮",881,1
"彰化縣","彰化縣二水鄉",2936,1
"彰化縣","彰化縣伸港鄉",253,1
"彰化縣","彰化縣北斗鎮",241,1
"彰化縣","彰化縣和美鎮",447,1
"彰化縣","彰化縣員林鎮",676,1
"彰化縣","彰化縣埔心鄉",32,1
"彰化縣","彰化縣埔鹽鄉",332,1
"彰化縣","彰化縣埤頭鄉",173,1
"彰化縣","彰化縣大城鄉",1709,1
"彰化縣","彰化縣大村鄉",568,1
"彰化縣","彰化縣彰化市",1597,1
"彰化縣","彰化縣永靖鄉",225,1
