"name_code","Kingdom_C","Phylum_C","Class_C","Order_C","Family_C","Genus_C","Species","ForestConservation","Unusual","ScientificName_C","ScientificName","Latitude","Longitude","Country_C","County_C","iPrecision ","InstitutionCode","CollectedDateTime"
"380155","動物界","脊索動物門","鳥綱","鸛形目","隼科","隼屬","peregrinus","I","","遊隼;隼","Falco peregrinus","0","0","","","0","asiz","1999/11/27 1:1"
"380155","動物界","脊索動物門","鳥綱","鸛形目","隼科","隼屬","peregrinus","I","","遊隼;隼","Falco peregrinus","22.84","120.19","","","0","asiz","1999/11/27 1:1"
"404565","動物界","脊索動物門","鳥綱","鸛形目","鸛科","鸛屬","boyciana","I","","東方白鸛","Ciconia boyciana","23.51","120.11","","","0","asiz","1999/11/28 1:1"
"380259","動物界","脊索動物門","鳥綱","鸛形目","鹮科","琵鷺屬","minor","I","","黑面琵鷺;黑臉琵鷺","Platalea minor","24.71","121.81","","","0","asiz","1999/11/28 1:1"
"380155","動物界","脊索動物門","鳥綱","鸛形目","隼科","隼屬","peregrinus","I","","遊隼;隼","Falco peregrinus","0","0","","","0","asiz","1999/11/29 1:1"
"380259","動物界","脊索動物門","鳥綱","鸛形目","鹮科","琵鷺屬","minor","I","","黑面琵鷺;黑臉琵鷺","Platalea minor","0","0","","","0","asiz","1999/11/29 1:1"
"380155","動物界","脊索動物門","鳥綱","鸛形目","隼科","隼屬","peregrinus","I","","遊隼;隼","Falco peregrinus","24.81","121.79","","","0","asiz","1999/12/1 1:1"
"380259","動物界","脊索動物門","鳥綱","鸛形目","鹮科","琵鷺屬","minor","I","","黑面琵鷺;黑臉琵鷺","Platalea minor","23.07","120.03","","","0","asiz","1999/12/24 1:1"
"380259","動物界","脊索動物門","鳥綱","鸛形目","鹮科","琵鷺屬","minor","I","","黑面琵鷺;黑臉琵鷺","Platalea minor","23.07","120.03","","","0","asiz","1999/12/24 1:1"
"380155","動物界","脊索動物門","鳥綱","鸛形目","隼科","隼屬","peregrinus","I","","遊隼;隼","Falco peregrinus","22.84","120.19","","","0","asiz","1999/12/25 1:1"
"380155","動物界","脊索動物門","鳥綱","鸛形目","隼科","隼屬","peregrinus","I","","遊隼;隼","Falco peregrinus","0","0","","","0","asiz","1999/12/26 1:1"
"380259","動物界","脊索動物門","鳥綱","鸛形目","鹮科","琵鷺屬","minor","I","","黑面琵鷺;黑臉琵鷺","Platalea minor","0","0","","","0","asiz","1999/12/27 1:1"
"380259","動物界","脊索動物門","鳥綱","鸛形目","鹮科","琵鷺屬","minor","I","","黑面琵鷺;黑臉琵鷺","Platalea minor","0","0","","","0","asiz","1999/12/27 1:1"
"380155","動物界","脊索動物門","鳥綱","鸛形目","隼科","隼屬","peregrinus","I","","遊隼;隼","Falco peregrinus","22.63","120.42","","","0","asiz","2000/1/19 1:1"
